log_ID,hole_num,rad_pos,dist_to_butt,cirad,log_len,BED,SED,slit_length,opening
1,1,1,0.415,0.028,2.8,175,145,1.28,15.28
1,2,1,1.28,0.055,2.8,175,145,1.28,15.28
1,3,1,2.28,0.033,2.8,175,145,1.28,15.28
1,4,2,0.43,0.042,2.8,175,145,1.28,15.28
1,5,2,1.38,0.033,2.8,175,145,1.28,15.28
1,6,2,2.36,0.023,2.8,175,145,1.28,15.28
1,7,3,0.48,0.049,2.8,175,145,1.28,15.28
1,8,3,1.48,0.037,2.8,175,145,1.28,15.28
1,9,3,2.34,0.038,2.8,175,145,1.28,15.28
1,10,4,0.42,0.032,2.8,175,145,1.28,15.28
1,11,4,1.3,0.045,2.8,175,145,1.28,15.28
1,12,4,2.24,0.056,2.8,175,145,1.28,15.28
