py_sampleID,stress_new,stress_old,stress_ADBC,stress_ABCD
1,11719901.0164809,9074322.31620808,10974268.300466,9492857.04529985
2,27621104.897781,19488208.2198911,22491471.1310503,18814635.7388131
3,21552788.6937706,14193629.4935398,12410847.478347,18258890.7927514
4,8233606.18837614,9683277.02715037,9086846.82967158,9239566.94445597
5,15716587.8221135,14192732.1676769,12745353.2447009,9810680.20843779
6,22596855.7946604,22825856.6886032,27675243.2467704,31301959.8671242
7,30589196.0791886,31339537.7369282,31636844.1368381,31571255.3413508
8,30260605.4826027,25850425.1957284,24528170.6028439,21663842.5614087
9,21175050.4777612,17098278.3731182,22680139.8499551,28722740.0388121
10,36021173.9771204,31260987.562729,27919604.9418596,28082063.9756947
11,36564055.5774381,28021261.937475,30418953.2490654,25723036.0502861
12,17114181.9754212,12797098.8565496,13439989.6171345,20245830.0415496
13,17487729.4673844,16126742.43001,17034994.5855009,15727469.2176728
14,26606933.1142689,22429360.065561,23139717.1428158,19531151.839193
15,9891949.18810551,9125380.38719524,11266163.678826,12823007.9820388
16,20054204.9346848,13704150.8219946,19444387.886065,17623937.7298531
17,16585853.405625,13282589.1878756,13436742.4682354,11584022.5617585
18,15903677.7824969,7576368.15327407,13722046.2279363,19649415.5759353
19,20964306.2533672,18560743.1547523,26296500.281301,24069589.4466684
20,23403410.888658,17934339.456428,22260782.5262506,24665140.5787432
21,22303102.6755255,17384275.4940682,20163164.3071933,20291049.0702411
22,10616793.8601411,11553254.5992706,12343119.6386393,15501835.1672762
23,23361268.489629,18547203.3456642,19716105.0442645,14286624.0228817
24,23439185.304426,18574041.4879674,23469082.2244571,28033345.3492136
25,33543239.6460137,28960045.4888607,27153848.4393301,25842767.4988514
26,12215811.5577439,10019837.3027804,11855354.2929127,13396521.9685295
27,25636795.9512813,22208549.6899197,24875703.5714776,24248136.1705869
28,34573127.8629548,34728535.7151735,34298672.9379764,24500222.4820299
29,34335314.2737385,27801365.8986588,28285868.7817369,20636569.9364786
30,20273600.5309626,16475082.0740764,23373488.7560567,18433559.9267624
31,10527884.9453509,11306426.2356852,9145030.13926695,10910376.7002252
32,8531406.56642376,6989743.29283205,9416055.25868074,7673014.57051227
33,13163767.9979365,13507564.5534951,13613981.6128781,12255372.3854882
34,11711540.2824397,12799910.4274035,14122949.2761172,16480929.710112
35,34382982.9385846,27392252.5139339,43070034.0148733,44054827.3425907
36,27427415.0892166,22988332.9827699,25293138.9150427,24084788.2502675
37,19536298.3251416,35279387.2010089,21374185.7652346,15847804.5007334
38,16823149.6831158,18409143.4966732,14738637.9107541,12076933.2843171
39,26396581.9719373,21543167.1905337,22519868.768061,21118784.3682272
40,29041785.1662615,25832692.7649381,25694817.1000151,20892503.9699439
41,34284703.7258858,26015852.5023957,29728187.7853047,30511415.9307667
42,18962921.2348319,12973641.512647,18523571.0417977,24079225.0956498
43,19686768.9017726,19266995.0323386,21116199.5133361,23367338.7399301
44,17655595.0048573,17195934.7378404,15503905.7075126,16377705.6950378
45,12586126.829409,12662443.1850165,11474174.5226583,15663328.1771077
46,33714283.1708054,22525871.0575315,21941375.8957144,20117192.3598654
47,46701275.0208157,37290397.0930741,43407033.1533908,45171470.3929233
48,32228008.1299144,34342999.8325471,30680941.1997236,22482252.3444305
49,19501605.9508897,17199083.1864221,21151544.4543662,20956528.3948574
50,24813088.9448681,24340359.2869514,22683944.9846249,22609634.9526285
51,19975664.9640863,19666620.0111294,22405708.8331305,23349551.9590782
52,15446334.6032372,12594842.4746899,15631197.6503504,22163025.3150172
53,24108782.5821686,21355364.279121,27065858.2133872,28295560.527162
54,23344485.8391706,29247469.4783303,19356941.686424,21584441.928056
55,29397878.9574265,17869062.5073365,20528856.6908785,29273732.5091265
56,22120530.7248973,16452332.9536235,18510583.0024314,14278861.1028438
57,41873877.2673198,34485946.5333893,47157725.5243928,45644510.765325
58,20394613.261551,19740109.0695455,19881850.9679012,20522079.5944357
59,26086209.7661034,24635228.0250808,27241280.9665616,21220600.1075355
60,12467153.6270762,10829057.8142947,10677709.1583637,9077885.25223072
61,16705126.7403375,14216928.5195379,13293233.8588731,14481045.0318453
62,45523512.5324214,35556097.5518158,44823401.2881816,33103321.9708517
63,16488495.3595095,12963447.0622532,16333860.4887744,16576858.1427866
64,46371193.0653924,36525185.5269327,43522641.4571194,40072108.3542878
65,25575912.6578983,19715000.4852243,24899897.3453547,25713228.2682587
66,14012809.7045198,13417599.7302561,14629570.6950356,11385407.8849223
67,16142763.8215466,14388655.4359831,15649584.3357846,12500327.096637
68,16685923.5042314,13521068.3860758,16756387.7082188,23760529.5845727
69,23387388.1895575,18903321.388009,20814236.608794,20888332.5967218
70,33150153.5953901,27084848.550839,32272391.3642676,27590992.7982813
71,14441422.4896033,11856389.2880809,13633842.9424873,17645349.1895994
72,15972982.4810217,13264510.4008768,13170439.082891,12931086.7278075
73,12896696.253193,19106986.245617,23047582.5474348,22801225.0336961
74,37023661.4244265,30259880.5134288,35198674.3400621,35015302.4320638
75,34614739.9371572,27314989.4585272,31160654.3617845,31608577.2238314
76,24569330.2390602,19972731.4046001,23215498.3188511,15547600.4029095
77,30689839.4235133,25349370.8475075,31320845.4677351,28115621.5840177
78,17774168.6736089,17272103.6240633,20913375.9927878,24766144.8280604
79,23907183.7543927,22979096.9976264,28245513.2201683,30028247.1811639
80,36181732.277605,34563215.2688154,48271381.343274,51722600.2967507
81,34204619.2709101,30569508.6076681,33987845.4996802,30630704.33208
82,33111902.6593691,34338166.8160323,34230548.019483,36756822.1244067
83,27317655.136597,25962964.7599554,30183143.4376387,34108862.4100656
84,40769064.1987176,32701361.6632645,38254764.1130679,36207999.1673116
85,27976451.5181274,21676468.4696279,22116652.9795395,17215325.2923605
86,36896657.6128071,28571829.3421005,38145988.2326006,31532096.7381894
87,21064965.6488041,15873884.675407,16728208.3298126,12471622.1455455
88,16582230.64478,14862757.5063634,14128802.6153537,10942864.783139
89,16380274.626123,13420981.4840277,16928597.3784381,18625621.5928818
90,15036672.2546251,13098925.9280606,12366338.1124903,12047554.0366076
91,25381702.4184992,36167766.929738,23322629.2104172,19407490.0119512
92,14312150.1939735,11401134.7057037,10210853.8863459,8784316.04021454
93,14030009.1455776,13704609.1866678,12413102.9123475,10049849.6480319
94,23817657.5190093,19425178.3110941,21032660.1339741,21363915.3295509
95,21926139.2026072,17367682.7480509,21013766.566014,17835060.3001234
96,18059397.6385626,18655560.5567061,16505856.2826622,20974890.7997696
97,22433101.927979,17454138.1859734,19989693.219119,19503769.9934751
98,13594580.12987,10837678.1219734,11879523.1458933,9470051.65219648
99,14441766.1985485,8686100.8562897,11160511.9666724,15567374.4463766
100,12392806.4893315,9967874.01435775,13391423.2622441,16387273.5809821
101,15961281.2035944,13503671.7306779,11869396.215644,10913320.9404166
102,47197283.0939219,35004236.286789,47148304.7812773,45327202.0656721
103,1679273.81805254,2756165.04404021,1499025.67725613,3474910.35991034
104,8139988.79517284,5996033.75624655,6956477.266401,9580552.60168699
105,24271657.1051233,21077049.1187788,25046618.235548,19242253.4935007
106,16638934.3320093,14200608.1203872,18359317.9743622,17511964.8370839
107,0,0,3545587.02371097,4904793.44024857
108,10368869.5018423,9347149.0485115,8950118.27161716,8732706.49173981
