,sample_type,theta,cutp,cutn,seed_num,mes,sample_num
0,cut_1,0.0,5,3,706,1.00111723459,0.0
1,centre_cut,0.0,1,-1,706,0.737999347007,0.0
2,rot_3,-1.88495559215,1,-1,706,-2.34620499096,0.0
3,cut_4,0.0,-7,-9,706,1.15744653679,0.0
4,rot_1,-0.628318530718,1,-1,706,1.3102111845,0.0
5,cut_3,0.0,-3,-5,706,0.27130077873799996,0.0
6,rot_2,-1.25663706144,1,-1,706,-0.6425205345399999,0.0
7,cut_2,0.0,9,7,706,1.2854853666600001,0.0
8,rot_4,-2.51327412287,1,-1,706,-1.5188136666299998,0.0
9,cut_1,0.0,5,3,457,1.74180052776,1.0
10,centre_cut,0.0,1,-1,457,2.02722140088,1.0
11,rot_3,-1.88495559215,1,-1,457,-0.913673499541,1.0
12,cut_4,0.0,-7,-9,457,1.7213462857900002,1.0
13,rot_1,-0.628318530718,1,-1,457,3.05592438258,1.0
14,cut_3,0.0,-3,-5,457,1.90369998944,1.0
15,rot_2,-1.25663706144,1,-1,457,1.47985720644,1.0
16,cut_2,0.0,9,7,457,0.959114611086,1.0
17,rot_4,-2.51327412287,1,-1,457,-0.321888100891,1.0
18,cut_1,0.0,5,3,803,1.0129361319499999,2.0
19,centre_cut,0.0,1,-1,803,0.6707331720449999,2.0
20,rot_3,-1.88495559215,1,-1,803,0.8973351324869999,2.0
21,cut_4,0.0,-7,-9,803,0.976346886466,2.0
22,rot_1,-0.628318530718,1,-1,803,0.157864717774,2.0
23,cut_3,0.0,-3,-5,803,0.6767830953120001,2.0
24,rot_2,-1.25663706144,1,-1,803,0.22531120508299998,2.0
25,cut_2,0.0,9,7,803,0.766253061193,2.0
26,rot_4,-2.51327412287,1,-1,803,1.1780192688700002,2.0
27,cut_1,0.0,5,3,142,0.873112846248,3.0
28,centre_cut,0.0,1,-1,142,0.9891595556730001,3.0
29,rot_3,-1.88495559215,1,-1,142,1.35371441317,3.0
30,cut_4,0.0,-7,-9,142,1.6685639242399999,3.0
31,rot_1,-0.628318530718,1,-1,142,2.10295789303,3.0
32,cut_3,0.0,-3,-5,142,1.22708944171,3.0
33,rot_2,-1.25663706144,1,-1,142,2.24048870705,3.0
34,cut_2,0.0,9,7,142,0.25068477801399996,3.0
35,rot_4,-2.51327412287,1,-1,142,0.572770535883,3.0
36,cut_1,0.0,5,3,736,1.5483285269299998,4.0
37,centre_cut,0.0,1,-1,736,1.5971630234999998,4.0
38,rot_3,-1.88495559215,1,-1,736,-0.392755060097,4.0
39,cut_4,0.0,-7,-9,736,0.6840641457080001,4.0
40,rot_1,-0.628318530718,1,-1,736,2.30425591958,4.0
41,cut_3,0.0,-3,-5,736,1.0064464315600001,4.0
42,rot_2,-1.25663706144,1,-1,736,1.1516129419,4.0
43,cut_2,0.0,9,7,736,1.12307693785,4.0
44,rot_4,-2.51327412287,1,-1,736,-0.0664688754624,4.0
45,cut_1,0.0,5,3,460,-0.497924049124,5.0
46,centre_cut,0.0,1,-1,460,0.393255633139,5.0
47,rot_3,-1.88495559215,1,-1,460,0.833880995991,5.0
48,cut_4,0.0,-7,-9,460,1.00748602425,5.0
49,rot_1,-0.628318530718,1,-1,460,1.65087663744,5.0
50,cut_3,0.0,-3,-5,460,0.821776204505,5.0
51,rot_2,-1.25663706144,1,-1,460,2.10262145986,5.0
52,cut_2,0.0,9,7,460,0.256340259008,5.0
53,rot_4,-2.51327412287,1,-1,460,-0.09584481861989999,5.0
54,cut_1,0.0,5,3,446,1.41026733937,6.0
55,centre_cut,0.0,1,-1,446,1.32577255155,6.0
56,rot_3,-1.88495559215,1,-1,446,2.1560703438699997,6.0
57,cut_4,0.0,-7,-9,446,0.92215179139,6.0
58,rot_1,-0.628318530718,1,-1,446,0.452028317081,6.0
59,cut_3,0.0,-3,-5,446,1.13788893903,6.0
60,rot_2,-1.25663706144,1,-1,446,1.04589226256,6.0
61,cut_2,0.0,9,7,446,1.1697582398100002,6.0
62,rot_4,-2.51327412287,1,-1,446,2.4450752152,6.0
63,cut_1,0.0,5,3,722,0.703871819261,7.0
64,centre_cut,0.0,1,-1,722,0.429753710613,7.0
65,rot_3,-1.88495559215,1,-1,722,1.5678872142500002,7.0
66,cut_4,0.0,-7,-9,722,0.836007163106,7.0
67,rot_1,-0.628318530718,1,-1,722,0.671536759516,7.0
68,cut_3,0.0,-3,-5,722,0.24492639170400002,7.0
69,rot_2,-1.25663706144,1,-1,722,1.33281698427,7.0
70,cut_2,0.0,9,7,722,0.709182844614,7.0
