,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
0,cut_first,0.0,1,-1,142,3.4757944329500003,21986303.2607,0.0
1,cut_second,-1.5707963267899998,1,-1,142,5.70610567401,21986303.2607,0.0
2,cut_first,0.0,1,-1,141,6.14123559319,21225542.6331,1.0
3,cut_second,-1.5707963267899998,1,-1,141,6.58141117591,21225542.6331,1.0
4,cut_first,0.0,1,-1,126,8.981674699500001,14845587.1292,2.0
5,cut_second,-1.5707963267899998,1,-1,126,9.10859887102,14845587.1292,2.0
6,cut_first,0.0,1,-1,67,6.21359537875,30990869.9898,3.0
7,cut_second,-1.5707963267899998,1,-1,67,6.160597579889999,30990869.9898,3.0
8,cut_first,0.0,1,-1,256,2.31464437441,21756977.5351,4.0
9,cut_second,-1.5707963267899998,1,-1,256,10.9475330559,21756977.5351,4.0
10,cut_first,0.0,1,-1,304,8.10809272305,31673729.3006,5.0
11,cut_second,-1.5707963267899998,1,-1,304,2.01599593981,31673729.3006,5.0
12,cut_first,0.0,1,-1,198,9.843871007639999,25036942.7948,6.0
13,cut_second,-1.5707963267899998,1,-1,198,2.66623353244,25036942.7948,6.0
14,cut_first,0.0,1,-1,276,3.9540910153199995,20886644.3779,7.0
15,cut_second,-1.5707963267899998,1,-1,276,12.2756103694,20886644.3779,7.0
16,cut_first,0.0,1,-1,157,3.0204835025700003,24258045.1062,8.0
17,cut_second,-1.5707963267899998,1,-1,157,15.525014658599998,24258045.1062,8.0
18,cut_first,0.0,1,-1,267,4.9967010169,24491990.1753,9.0
19,cut_second,-1.5707963267899998,1,-1,267,4.67575523965,24491990.1753,9.0
20,cut_first,0.0,1,-1,26,9.31387755532,22583615.2274,10.0
21,cut_second,-1.5707963267899998,1,-1,26,-1.3618453123700003,22583615.2274,10.0
22,cut_first,0.0,1,-1,56,3.79161924709,11461713.3326,11.0
23,cut_second,-1.5707963267899998,1,-1,56,6.67959973592,11461713.3326,11.0
24,cut_first,0.0,1,-1,76,4.24815330667,29293956.8997,12.0
25,cut_second,-1.5707963267899998,1,-1,76,5.02729324247,29293956.8997,12.0
26,cut_first,0.0,1,-1,285,6.981479617180001,31320742.4198,13.0
27,cut_second,-1.5707963267899998,1,-1,285,1.19603796374,31320742.4198,13.0
28,cut_first,0.0,1,-1,234,4.31706292854,28198481.0514,14.0
29,cut_second,-1.5707963267899998,1,-1,234,8.93645044522,28198481.0514,14.0
30,cut_first,0.0,1,-1,269,11.670290801099998,15424899.6208,15.0
31,cut_second,-1.5707963267899998,1,-1,269,3.39471924565,15424899.6208,15.0
32,cut_first,0.0,1,-1,7,6.18740338054,36057637.1752,16.0
33,cut_second,-1.5707963267899998,1,-1,7,0.602427059253,36057637.1752,16.0
34,cut_first,0.0,1,-1,287,6.20365684846,24829414.6303,17.0
35,cut_second,-1.5707963267899998,1,-1,287,7.62099751753,24829414.6303,17.0
36,cut_first,0.0,1,-1,280,4.64670541308,17367809.105,18.0
37,cut_second,-1.5707963267899998,1,-1,280,5.381665260469999,17367809.105,18.0
38,cut_first,0.0,1,-1,131,2.92055545973,24875636.7191,19.0
39,cut_second,-1.5707963267899998,1,-1,131,8.89824054202,24875636.7191,19.0
40,cut_first,0.0,1,-1,113,8.68982051745,19464390.5847,20.0
41,cut_second,-1.5707963267899998,1,-1,113,5.70989187559,19464390.5847,20.0
42,cut_first,0.0,1,-1,255,4.049537508349999,7172400.28145,21.0
43,cut_second,-1.5707963267899998,1,-1,255,2.8187322541400004,7172400.28145,21.0
44,cut_first,0.0,1,-1,190,3.16175931291,27214883.8288,22.0
45,cut_second,-1.5707963267899998,1,-1,190,7.264219883189999,27214883.8288,22.0
46,cut_first,0.0,1,-1,220,6.67106419806,8876881.39879,23.0
47,cut_second,-1.5707963267899998,1,-1,220,7.75274941807,8876881.39879,23.0
48,cut_first,0.0,1,-1,159,0.300968326699,15326876.1245,24.0
49,cut_second,-1.5707963267899998,1,-1,159,9.83412506258,15326876.1245,24.0
50,cut_first,0.0,1,-1,307,3.7523193908699994,13626098.72,25.0
51,cut_second,-1.5707963267899998,1,-1,307,7.18157481698,13626098.72,25.0
52,cut_first,0.0,1,-1,6,7.2346225015600005,18005730.885,26.0
53,cut_second,-1.5707963267899998,1,-1,6,3.31694901408,18005730.885,26.0
54,cut_first,0.0,1,-1,144,-0.26854204279,9109306.87518,27.0
55,cut_second,-1.5707963267899998,1,-1,144,5.75620295138,9109306.87518,27.0
56,cut_first,0.0,1,-1,97,5.03711555872,5028721.52715,28.0
57,cut_second,-1.5707963267899998,1,-1,97,5.16425219463,5028721.52715,28.0
58,cut_first,0.0,1,-1,59,6.463312749349999,5767132.633669999,29.0
59,cut_second,-1.5707963267899998,1,-1,59,6.6349237188900005,5767132.633669999,29.0
60,cut_first,0.0,1,-1,19,7.76834881036,22809094.4179,30.0
61,cut_second,-1.5707963267899998,1,-1,19,5.5563548299,22809094.4179,30.0
62,cut_first,0.0,1,-1,310,6.82903142032,25643057.6421,31.0
63,cut_second,-1.5707963267899998,1,-1,310,8.65911301523,25643057.6421,31.0
64,cut_first,0.0,1,-1,193,8.84686199854,36007150.9194,32.0
65,cut_second,-1.5707963267899998,1,-1,193,3.33747079108,36007150.9194,32.0
66,cut_first,0.0,1,-1,257,8.006301535039999,33047191.0388,33.0
67,cut_second,-1.5707963267899998,1,-1,257,3.14529986872,33047191.0388,33.0
68,cut_first,0.0,1,-1,60,1.7710748444799997,12506363.9745,34.0
69,cut_second,-1.5707963267899998,1,-1,60,9.64671404443,12506363.9745,34.0
70,cut_first,0.0,1,-1,102,6.26745434909,35855171.4435,35.0
71,cut_second,-1.5707963267899998,1,-1,102,3.24235179705,35855171.4435,35.0
72,cut_first,0.0,1,-1,209,7.108434491110001,16778814.6035,36.0
73,cut_second,-1.5707963267899998,1,-1,209,4.93479504126,16778814.6035,36.0
74,cut_first,0.0,1,-1,36,4.20062677451,26914862.8832,37.0
75,cut_second,-1.5707963267899998,1,-1,36,9.65791354991,26914862.8832,37.0
76,cut_first,0.0,1,-1,247,7.13440873007,27523409.7125,38.0
77,cut_second,-1.5707963267899998,1,-1,247,4.87134171476,27523409.7125,38.0
78,cut_first,0.0,1,-1,216,8.184314849049999,11516965.6301,39.0
79,cut_second,-1.5707963267899998,1,-1,216,3.12058174681,11516965.6301,39.0
80,cut_first,0.0,1,-1,313,-0.15224750513399998,22487019.6264,40.0
81,cut_second,-1.5707963267899998,1,-1,313,8.8386079679,22487019.6264,40.0
82,cut_first,0.0,1,-1,34,6.97152415608,23014935.8346,41.0
83,cut_second,-1.5707963267899998,1,-1,34,3.0215644252,23014935.8346,41.0
84,cut_first,0.0,1,-1,226,5.472212368380001,18145984.0224,42.0
85,cut_second,-1.5707963267899998,1,-1,226,3.2961357069200004,18145984.0224,42.0
86,cut_first,0.0,1,-1,115,5.19323854954,26422373.2317,43.0
87,cut_second,-1.5707963267899998,1,-1,115,7.4881010515,26422373.2317,43.0
88,cut_first,0.0,1,-1,93,6.38306547696,35513750.8919,44.0
89,cut_second,-1.5707963267899998,1,-1,93,5.35296500169,35513750.8919,44.0
90,cut_first,0.0,1,-1,17,6.89426254037,23307317.0109,45.0
91,cut_second,-1.5707963267899998,1,-1,17,5.726015874269999,23307317.0109,45.0
92,cut_first,0.0,1,-1,217,2.03969846091,22078455.6723,46.0
93,cut_second,-1.5707963267899998,1,-1,217,4.75087182172,22078455.6723,46.0
94,cut_first,0.0,1,-1,121,3.6383231976499997,18905035.8792,47.0
95,cut_second,-1.5707963267899998,1,-1,121,4.39200856732,18905035.8792,47.0
96,cut_first,0.0,1,-1,315,6.80407359344,7534483.84588,48.0
97,cut_second,-1.5707963267899998,1,-1,315,1.9516473241900003,7534483.84588,48.0
98,cut_first,0.0,1,-1,160,2.39509926122,16337893.920999998,49.0
99,cut_second,-1.5707963267899998,1,-1,160,11.4117622605,16337893.920999998,49.0
100,cut_first,0.0,1,-1,139,4.23540304356,35671777.4157,50.0
101,cut_second,-1.5707963267899998,1,-1,139,8.499252020439998,35671777.4157,50.0
102,cut_first,0.0,1,-1,207,4.63891517157,131528.29666300002,51.0
103,cut_second,-1.5707963267899998,1,-1,207,4.29331517092,131528.29666300002,51.0
104,cut_first,0.0,1,-1,223,4.19766176754,25637913.2184,52.0
105,cut_second,-1.5707963267899998,1,-1,223,7.6340643430199995,25637913.2184,52.0
106,cut_first,0.0,1,-1,20,7.77338879796,28785406.3642,53.0
107,cut_second,-1.5707963267899998,1,-1,20,0.78468112411,28785406.3642,53.0
108,cut_first,0.0,1,-1,51,3.7424195589699996,18197586.149,54.0
109,cut_second,-1.5707963267899998,1,-1,51,7.546751386989999,18197586.149,54.0
110,cut_first,0.0,1,-1,114,0.399332163714,20620433.2826,55.0
111,cut_second,-1.5707963267899998,1,-1,114,12.5156704484,20620433.2826,55.0
