,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
0,cut_first,0.0,1,-1,706,-4.113070187169999,-2543706.21392,0.0
1,cut_second,-1.5707963267899998,1,-1,706,-3.0774527739399997,-2543706.21392,0.0
2,cut_first,0.0,1,-1,457,2.99328006731,12849757.047,1.0
3,cut_second,-1.5707963267899998,1,-1,457,3.13421585263,12849757.047,1.0
4,cut_first,0.0,1,-1,803,4.014927603299999,13044323.3647,2.0
5,cut_second,-1.5707963267899998,1,-1,803,2.1499046938900004,13044323.3647,2.0
6,cut_first,0.0,1,-1,142,5.43772730157,18604271.8879,3.0
7,cut_second,-1.5707963267899998,1,-1,142,6.021627926240001,18604271.8879,3.0
8,cut_first,0.0,1,-1,736,9.66521058492,29024442.5133,4.0
9,cut_second,-1.5707963267899998,1,-1,736,10.4969767986,29024442.5133,4.0
10,cut_first,0.0,1,-1,460,9.48781675793,20487083.7225,5.0
11,cut_second,-1.5707963267899998,1,-1,460,10.536768197999999,20487083.7225,5.0
12,cut_first,0.0,1,-1,446,1.26328341024,13530914.1248,6.0
13,cut_second,-1.5707963267899998,1,-1,446,0.578678232388,13530914.1248,6.0
14,cut_first,0.0,1,-1,722,5.1703441577,17959381.1013,7.0
15,cut_second,-1.5707963267899998,1,-1,722,5.59350032607,17959381.1013,7.0
16,cut_first,0.0,1,-1,714,1.61099748069,-406248.410977,8.0
17,cut_second,-1.5707963267899998,1,-1,714,3.5821184878099994,-406248.410977,8.0
18,cut_first,0.0,1,-1,755,4.498775194549999,17791045.7583,9.0
19,cut_second,-1.5707963267899998,1,-1,755,4.9283467463,17791045.7583,9.0
20,cut_first,0.0,1,-1,917,5.18240769329,17309025.7107,10.0
21,cut_second,-1.5707963267899998,1,-1,917,4.87630346602,17309025.7107,10.0
22,cut_first,0.0,1,-1,791,4.2020996449,15165492.4927,11.0
23,cut_second,-1.5707963267899998,1,-1,791,5.959211528150001,15165492.4927,11.0
24,cut_first,0.0,1,-1,352,9.83288988962,18968465.0792,12.0
25,cut_second,-1.5707963267899998,1,-1,352,8.309015420569999,18968465.0792,12.0
26,cut_first,0.0,1,-1,693,8.284694099269998,21020604.6636,13.0
27,cut_second,-1.5707963267899998,1,-1,693,9.69827640157,21020604.6636,13.0
28,cut_first,0.0,1,-1,355,4.54409665596,15183309.2319,14.0
29,cut_second,-1.5707963267899998,1,-1,355,5.41395966051,15183309.2319,14.0
30,cut_first,0.0,1,-1,141,7.70242288526,17887577.7012,15.0
31,cut_second,-1.5707963267899998,1,-1,141,7.827057608730001,17887577.7012,15.0
32,cut_first,0.0,1,-1,882,5.64311397444,13404683.9646,16.0
33,cut_second,-1.5707963267899998,1,-1,882,6.8112080421300005,13404683.9646,16.0
34,cut_first,0.0,1,-1,126,8.99136561337,11877175.9339,17.0
35,cut_second,-1.5707963267899998,1,-1,126,9.01304502123,11877175.9339,17.0
36,cut_first,0.0,1,-1,67,11.133303403,27087256.4085,18.0
37,cut_second,-1.5707963267899998,1,-1,67,11.058103951800001,27087256.4085,18.0
