,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
0,cut_first,0.0,1,-1,706,3.6398289546900005,17502351.0,0.0
1,cut_second,-1.5707963267899998,1,-1,706,4.67544647879,17502351.0,0.0
2,cut_first,0.0,1,-1,457,4.79269082837,17502351.0,1.0
3,cut_second,-1.5707963267899998,1,-1,457,4.933626632519999,17502351.0,1.0
4,cut_first,0.0,1,-1,803,5.73908902607,17502351.0,2.0
5,cut_second,-1.5707963267899998,1,-1,803,3.8740661179,17502351.0,2.0
6,cut_first,0.0,1,-1,142,5.01155463241,17502351.0,3.0
7,cut_second,-1.5707963267899998,1,-1,142,5.59545525461,17502351.0,3.0
8,cut_first,0.0,1,-1,736,5.208991966419999,17502351.0,4.0
9,cut_second,-1.5707963267899998,1,-1,736,6.04075818601,17502351.0,4.0
10,cut_first,0.0,1,-1,460,8.333458496930001,17502351.0,5.0
11,cut_second,-1.5707963267899998,1,-1,460,9.38240993704,17502351.0,5.0
12,cut_first,0.0,1,-1,446,2.7992538551,17502351.0,6.0
13,cut_second,-1.5707963267899998,1,-1,446,2.11464856532,17502351.0,6.0
14,cut_first,0.0,1,-1,722,4.9935857944099995,17502351.0,7.0
15,cut_second,-1.5707963267899998,1,-1,722,5.41674196206,17502351.0,7.0
16,cut_first,0.0,1,-1,714,8.537225582789999,17502351.0,8.0
17,cut_second,-1.5707963267899998,1,-1,714,10.5083465975,17502351.0,8.0
18,cut_first,0.0,1,-1,755,4.38712125095,17502351.0,9.0
19,cut_second,-1.5707963267899998,1,-1,755,4.81669280263,17502351.0,9.0
20,cut_first,0.0,1,-1,917,5.257177083359999,17502351.0,10.0
21,cut_second,-1.5707963267899998,1,-1,917,4.9510728554800005,17502351.0,10.0
22,cut_first,0.0,1,-1,791,5.105889757219999,17502351.0,11.0
23,cut_second,-1.5707963267899998,1,-1,791,6.86300164083,17502351.0,11.0
24,cut_first,0.0,1,-1,352,9.26586394283,17502351.0,12.0
25,cut_second,-1.5707963267899998,1,-1,352,7.74198947338,17502351.0,12.0
26,cut_first,0.0,1,-1,693,6.92399431636,17502351.0,13.0
27,cut_second,-1.5707963267899998,1,-1,693,8.3375766147,17502351.0,13.0
28,cut_first,0.0,1,-1,355,5.44099606795,17502351.0,14.0
29,cut_second,-1.5707963267899998,1,-1,355,6.3108590723199995,17502351.0,14.0
30,cut_first,0.0,1,-1,141,7.5534347961399995,17502351.0,15.0
31,cut_second,-1.5707963267899998,1,-1,141,7.678069519530001,17502351.0,15.0
32,cut_first,0.0,1,-1,882,7.227904382939999,17502351.0,16.0
33,cut_second,-1.5707963267899998,1,-1,882,8.39599845156,17502351.0,16.0
34,cut_first,0.0,1,-1,126,11.1669263465,17502351.0,17.0
35,cut_second,-1.5707963267899998,1,-1,126,11.188605754300001,17502351.0,17.0
36,cut_first,0.0,1,-1,67,7.42629987732,17502351.0,18.0
37,cut_second,-1.5707963267899998,1,-1,67,7.351100422110001,17502351.0,18.0
38,cut_first,0.0,1,-1,687,6.65241126223,17502351.0,19.0
39,cut_second,-1.5707963267899998,1,-1,687,5.77232077083,17502351.0,19.0
40,cut_first,0.0,1,-1,405,6.89271598171,17502351.0,20.0
41,cut_second,-1.5707963267899998,1,-1,405,7.93666273773,17502351.0,20.0
42,cut_first,0.0,1,-1,256,6.9373060433200004,17502351.0,21.0
43,cut_second,-1.5707963267899998,1,-1,256,8.993946425689998,17502351.0,21.0
44,cut_first,0.0,1,-1,955,6.02712825929,17502351.0,22.0
45,cut_second,-1.5707963267899998,1,-1,955,5.746106290009999,17502351.0,22.0
46,cut_first,0.0,1,-1,877,5.893064303380001,17502351.0,23.0
47,cut_second,-1.5707963267899998,1,-1,877,8.09388053219,17502351.0,23.0
48,cut_first,0.0,1,-1,304,6.694860493309999,17502351.0,24.0
49,cut_second,-1.5707963267899998,1,-1,304,5.15753099344,17502351.0,24.0
50,cut_first,0.0,1,-1,198,8.400388870650001,17502351.0,25.0
51,cut_second,-1.5707963267899998,1,-1,198,6.585164729330001,17502351.0,25.0
52,cut_first,0.0,1,-1,880,4.92171780303,17502351.0,26.0
53,cut_second,-1.5707963267899998,1,-1,880,3.58738547995,17502351.0,26.0
54,cut_first,0.0,1,-1,276,8.876385399110001,17502351.0,27.0
55,cut_second,-1.5707963267899998,1,-1,276,10.9623963774,17502351.0,27.0
56,cut_first,0.0,1,-1,707,8.67086126102,17502351.0,28.0
57,cut_second,-1.5707963267899998,1,-1,707,8.93166014588,17502351.0,28.0
58,cut_first,0.0,1,-1,374,4.94144765778,17502351.0,29.0
59,cut_second,-1.5707963267899998,1,-1,374,5.51639533228,17502351.0,29.0
60,cut_first,0.0,1,-1,686,5.935988457660001,17502351.0,30.0
61,cut_second,-1.5707963267899998,1,-1,686,7.21798933709,17502351.0,30.0
62,cut_first,0.0,1,-1,735,6.78837278653,17502351.0,31.0
63,cut_second,-1.5707963267899998,1,-1,735,6.23543884988,17502351.0,31.0
64,cut_first,0.0,1,-1,157,9.85967579159,17502351.0,32.0
65,cut_second,-1.5707963267899998,1,-1,157,13.037029881099999,17502351.0,32.0
66,cut_first,0.0,1,-1,711,9.37500115164,17502351.0,33.0
67,cut_second,-1.5707963267899998,1,-1,711,8.99297382592,17502351.0,33.0
68,cut_first,0.0,1,-1,907,5.66446765778,17502351.0,34.0
